,Year,Canton,Population type,Place of birth,Citizenship - Total,Canada,Proportion of Nonperm Residents who are Canadian,Percentage of Nonperm Residents who are Canadian
2,2016,,Non permanent resident population,Abroad,75883,490,0.006457309278758088,0.6457309278758089
5,2016,Zurich,Non permanent resident population,Abroad,12687,104,0.008197367383936312,0.8197367383936313
548,2016,Bern / Berne,Non permanent resident population,Abroad,6158,23,0.003734978889249756,0.3734978889249756
1637,2016,Luzern,Non permanent resident population,Abroad,2914,6,0.002059025394646534,0.20590253946465342
1907,2016,Uri,Non permanent resident population,Abroad,311,0,0.0,0.0
1973,2016,Schwyz,Non permanent resident population,Abroad,1207,2,0.0016570008285004142,0.16570008285004142
2084,2016,Obwalden,Non permanent resident population,Abroad,285,0,0.0,0.0
2111,2016,Nidwalden,Non permanent resident population,Abroad,283,2,0.007067137809187279,0.7067137809187279
2150,2016,Glarus,Non permanent resident population,Abroad,362,1,0.0027624309392265192,0.2762430939226519
2165,2016,Zug,Non permanent resident population,Abroad,1671,6,0.003590664272890485,0.3590664272890485
2204,2016,Fribourg / Freiburg,Non permanent resident population,Abroad,1715,15,0.008746355685131196,0.8746355685131195
2678,2016,Solothurn,Non permanent resident population,Abroad,1791,9,0.005025125628140704,0.5025125628140703
3038,2016,Basel-Stadt,Non permanent resident population,Abroad,2875,15,0.0052173913043478265,0.5217391304347827
3053,2016,Basel-Landschaft,Non permanent resident population,Abroad,1380,3,0.002173913043478261,0.21739130434782608
3329,2016,Schaffhausen,Non permanent resident population,Abroad,831,2,0.0024067388688327317,0.24067388688327318
3428,2016,Appenzell Ausserrhoden,Non permanent resident population,Abroad,173,0,0.0,0.0
3500,2016,Appenzell Innerrhoden,Non permanent resident population,Abroad,93,0,0.0,0.0
3524,2016,St. Gallen,Non permanent resident population,Abroad,2855,6,0.0021015761821366026,0.21015761821366027
3782,2016,Graubunden / Grigioni / Grischun,Non permanent resident population,Abroad,7603,4,0.0005261081152176773,0.05261081152176773
4160,2016,Aargau,Non permanent resident population,Abroad,4918,17,0.0034566897112647418,0.34566897112647416
4835,2016,Thurgau,Non permanent resident population,Abroad,1838,5,0.002720348204570185,0.2720348204570185
5093,2016,Ticino,Non permanent resident population,Abroad,2421,16,0.00660883932259397,0.660883932259397
5510,2016,Vaud,Non permanent resident population,Abroad,9275,111,0.011967654986522911,1.196765498652291
6491,2016,Valais / Wallis,Non permanent resident population,Abroad,7191,21,0.002920317062995411,0.2920317062995411
6935,2016,Neuchatel,Non permanent resident population,Abroad,1222,61,0.04991816693944354,4.991816693944354
7064,2016,Geneve,Non permanent resident population,Abroad,3563,56,0.015717092337917484,1.5717092337917484
7205,2016,Jura,Non permanent resident population,Abroad,261,5,0.019157088122605363,1.9157088122605364
